Student_ID,Attendance,Assignment_Score,Study_Hours,Internal_Test_1,Internal_Test_2,Final_Exam_Marks
S1000,84,7,3,30,36,72
S1003,80,7,3,36,35,74
S1004,84,8,3,31,37,66
S1005,100,7,3,34,34,79
S1006,96,8,3,40,36,83
S1007,83,7,3,39,37,77
S1008,91,8,2,30,37,71
S1014,86,8,3,38,33,65
S1016,94,8,3,34,36,75
S1017,85,7,2,29,36,69
S1018,84,8,3,36,34,74
S1019,82,7,3,35,29,66
S1020,98,9,4,40,40,92
S1023,91,7,3,35,32,67
S1025,91,8,2,37,37,77
S1026,86,7,3,39,30,71
S1028,95,9,3,40,33,80
S1029,85,7,3,25,36,65
S1032,85,8,4,34,35,73
S1034,91,9,4,40,36,81
S1035,87,8,3,33,33,69
S1036,83,7,4,32,26,70
S1039,90,10,3,39,40,88
S1040,92,8,3,34,39,74
S1042,100,7,4,36,39,85
S1045,97,7,3,38,33,79
S1046,95,7,3,40,36,84
S1047,92,9,3,35,40,85
S1050,84,8,3,33,31,67
S1053,75,9,3,34,30,71
S1054,92,9,3,36,37,77
S1055,94,7,4,33,35,70
S1057,84,8,3,39,31,76
S1059,76,8,3,33,37,73
S1060,93,8,3,38,23,65
S1064,82,8,3,36,38,77
S1067,85,10,3,39,40,75
S1069,88,7,3,38,31,78
S1071,97,8,3,36,30,71
S1073,81,8,3,35,35,73
S1074,87,8,4,31,34,66
S1076,77,6,3,33,32,65
S1077,87,6,3,28,32,66
S1079,93,9,3,37,40,76
S1080,75,7,3,35,31,67
S1082,84,7,3,35,35,67
S1086,88,7,3,32,32,68
S1087,84,9,4,40,36,74
S1088,92,8,3,33,34,66
S1089,78,8,3,33,35,69
S1090,91,8,2,40,36,73
S1091,85,9,3,37,40,71
S1092,81,8,3,33,34,66
S1093,87,6,4,32,31,65
S1097,86,7,2,27,36,69
S1098,84,7,3,36,33,71
S1100,96,8,3,34,37,80
S1101,99,9,4,30,40,80
S1103,92,7,3,36,28,67
S1105,82,8,3,31,34,69
S1106,83,9,2,34,40,69
S1107,94,6,3,32,34,74
S1109,92,7,4,36,34,73
S1110,95,8,3,36,34,83
S1111,80,8,3,29,35,66
S1112,97,9,3,33,40,88
S1114,94,7,4,35,31,75
S1120,90,9,2,32,33,65
S1122,88,8,3,36,33,73
S1123,100,8,4,24,38,73
S1125,88,8,3,33,39,78
S1126,73,7,3,33,31,66
S1127,93,8,4,36,36,72
S1128,92,7,4,37,35,69
S1131,81,8,3,40,27,66
S1133,89,9,3,40,31,78
S1134,93,9,3,37,35,76
S1137,98,7,3,31,38,78
S1138,89,7,3,30,39,78
S1139,87,9,3,35,40,89
S1141,84,9,3,37,34,71
S1143,86,9,2,38,31,72
S1144,90,8,3,25,40,69
S1145,78,8,3,37,33,75
S1146,81,7,3,31,34,65
S1150,93,7,3,30,31,66
S1151,89,10,3,36,38,80
S1152,91,8,3,35,32,69
S1153,84,8,3,33,36,69
S1154,87,8,3,30,40,78
