Student_ID,Final_Exam_Marks
S1063,48
S1070,44
S1099,45
S1116,49
S1118,35
S1119,46
S1130,49
S1136,42
S1149,49
S1158,46
S1165,44
S1171,43
S1180,48
S1189,44
S1208,43
S1215,47
S1217,49
S1231,40
S1297,45
S1300,47
S1302,47
S1320,41
S1326,38
S1329,49
S1331,40
S1334,47
S1347,40
S1349,48
S1361,48
S1369,41
S1371,47
S1374,47
S1376,48
S1419,47
S1426,44
S1435,38
S1443,43
S1450,48
S1477,41
S1480,44
S1493,47
S1499,49
S1508,48
S1515,49
S1517,36
S1529,40
S1546,46
S1556,49
S1561,41
S1576,49
S1586,40
S1594,49
S1603,46
S1606,44
S1623,46
S1669,47
S1675,46
S1678,31
S1683,40
S1698,48
S1701,48
S1712,40
S1720,49
S1724,47
S1727,47
S1731,39
S1732,45
S1750,49
S1754,44
S1786,48
S1834,42
S1837,42
S1841,49
S1852,36
S1855,42
S1861,41
S1862,47
S1864,48
S1868,42
S1885,46
S1895,48
S1914,48
S1924,43
S1937,44
S1941,45
S1960,49
S1970,45
S1987,46
S1994,41
S1998,43
S2004,44
S2016,48
S2027,43
S2028,38
S2043,41
S2059,42
S2066,39
S2074,38
S2083,49
S2086,48
S2096,37
S2099,45
S2109,42
S2127,40
S2132,49
S2171,48
S2177,41
S2182,49
S2194,26
S2201,43
S2204,43
S2205,32
S2213,48
S2215,46
S2220,48
S2238,47
S2261,49
S2286,43
S2289,37
S2290,45
S2304,48
S2312,49
S2328,49
S2362,45
S2370,46
S2380,42
S2389,37
S2400,39
S2401,47
S2413,47
S2424,43
S2453,47
S2455,47
S2462,43
S2469,48
S2488,46
S2527,47
S2537,42
S2541,48
S2561,47
S2564,25
S2570,38
S2572,49
S2574,47
S2578,47
S2580,47
S2587,36
S2597,49
S2598,48
S2603,43
S2607,47
S2614,34
S2618,38
S2649,49
S2670,42
S2671,42
S2685,47
S2690,44
S2724,46
S2745,47
S2772,48
S2793,47
S2806,45
S2819,47
S2820,39
S2824,47
S2837,48
S2848,42
S2851,44
S2855,46
S2857,39
S2889,43
S2902,48
S2911,49
S2919,41
S2925,39
S2926,46
S2937,40
S2940,48
S2946,44
S2947,46
S2949,41
S2954,49
S2961,37
S2978,46
S2980,44
S2991,44
S2993,49
